,0,1,symbol,name,time,openPrice,highPrice,lowPrice,preClose,bid1Price,ask1Price,lastPrice,settlePrice,preSettlePrice,bid1Vol,ask1Vol,openInterest,Vol,exchange,product,date,statusId,highPrice,unknown1,highPrice,unknown2,unknown3,unknown2,unknown4,unknown5,unknown6,symbolalpha
0,var hq_str_RB0,"""螺纹钢连续,150014,4160.00,4167.00,4105.00,4150.00,4117.00,4118.00,4117.00,4137.00,4131.00,66,5,2692326,3358584,沪,螺纹钢,2018-10-16,0,4166.000,3958.000,4166.000,3904.000,4299.000,3904.000,4418.000,3904.000,85.874""",RB0,"""螺纹钢连续",150014,4160.00,4167.00,4105.00,4150.00,4117.00,4118.00,4117.00,4137.00,4131.00,66,5,2692326,3358584,沪,螺纹钢,2018-10-16,0,4166.000,3958.000,4166.000,3904.000,4299.000,3904.000,4418.000,3904.000,"85.874""",RB
1,"
var hq_str_AG0","""白银连续,150014,3576.00,3581.00,3551.00,3568.00,3560.00,3562.00,3562.00,3568.00,3559.00,202,165,495536,270364,沪,白银,2018-10-16,0,3571.000,3493.000,3571.000,3460.000,3571.000,3376.000,3716.000,3376.000,29.407""",AG0,"""白银连续",150014,3576.00,3581.00,3551.00,3568.00,3560.00,3562.00,3562.00,3568.00,3559.00,202,165,495536,270364,沪,白银,2018-10-16,0,3571.000,3493.000,3571.000,3460.000,3571.000,3376.000,3716.000,3376.000,"29.407""",AG
2,"
var hq_str_AU0","""黄金连续,150014,276.00,276.15,274.75,275.35,275.25,275.30,275.25,275.40,274.05,36,2,299494,154004,沪,黄金,2018-10-16,0,275.350,267.200,275.350,264.850,275.350,264.850,275.350,262.700,1.421""",AU0,"""黄金连续",150014,276.00,276.15,274.75,275.35,275.25,275.30,275.25,275.40,274.05,36,2,299494,154004,沪,黄金,2018-10-16,0,275.350,267.200,275.350,264.850,275.350,264.850,275.350,262.700,"1.421""",AU
3,"
var hq_str_CU0","""沪铜连续,150014,50780.00,50960.00,50130.00,50570.00,50190.00,50210.00,50190.00,50510.00,50780.00,4,2,168606,149838,沪,沪铜,2018-10-16,0,51140.000,49760.000,51140.000,49710.000,51140.000,47200.000,51140.000,46940.000,639.669""",CU0,"""沪铜连续",150014,50780.00,50960.00,50130.00,50570.00,50190.00,50210.00,50190.00,50510.00,50780.00,4,2,168606,149838,沪,沪铜,2018-10-16,0,51140.000,49760.000,51140.000,49710.000,51140.000,47200.000,51140.000,46940.000,"639.669""",CU
4,"
var hq_str_AL0","""沪铝连续,150014,14210.00,14295.00,14070.00,14180.00,14245.00,14250.00,14245.00,14220.00,14240.00,90,248,222272,162412,沪,沪铝,2018-10-16,0,14590.000,14155.000,14690.000,14155.000,14850.000,14155.000,15100.000,14050.000,164.105""",AL0,"""沪铝连续",150014,14210.00,14295.00,14070.00,14180.00,14245.00,14250.00,14245.00,14220.00,14240.00,90,248,222272,162412,沪,沪铝,2018-10-16,0,14590.000,14155.000,14690.000,14155.000,14850.000,14155.000,15100.000,14050.000,"164.105""",AL
5,"
var hq_str_ZN0","""沪锌连续,150014,22630.00,22655.00,22085.00,22555.00,22240.00,22245.00,22240.00,22395.00,22725.00,43,2,169222,530148,沪,沪锌,2018-10-16,0,23110.000,21970.000,23110.000,21200.000,23110.000,20130.000,23110.000,19525.000,497.480""",ZN0,"""沪锌连续",150014,22630.00,22655.00,22085.00,22555.00,22240.00,22245.00,22240.00,22395.00,22725.00,43,2,169222,530148,沪,沪锌,2018-10-16,0,23110.000,21970.000,23110.000,21200.000,23110.000,20130.000,23110.000,19525.000,"497.480""",ZN
6,"
var hq_str_PB0","""沪铅连续,150014,18955.00,19060.00,18715.00,18815.00,18750.00,18765.00,18750.00,18880.00,18875.00,44,8,52146,62028,沪,沪铅,2018-10-16,0,18995.000,18005.000,18995.000,17760.000,19240.000,17760.000,19240.000,17280.000,346.860""",PB0,"""沪铅连续",150014,18955.00,19060.00,18715.00,18815.00,18750.00,18765.00,18750.00,18880.00,18875.00,44,8,52146,62028,沪,沪铅,2018-10-16,0,18995.000,18005.000,18995.000,17760.000,19240.000,17760.000,19240.000,17280.000,"346.860""",PB
7,"
var hq_str_RU0","""橡胶连续,150014,12215.00,12315.00,11935.00,12205.00,12100.00,12105.00,12105.00,12165.00,12255.00,29,31,328210,444238,沪,橡胶,2018-10-16,0,12875.000,12125.000,12875.000,12125.000,12875.000,11850.000,12875.000,9960.000,287.179""",RU0,"""橡胶连续",150014,12215.00,12315.00,11935.00,12205.00,12100.00,12105.00,12105.00,12165.00,12255.00,29,31,328210,444238,沪,橡胶,2018-10-16,0,12875.000,12125.000,12875.000,12125.000,12875.000,11850.000,12875.000,9960.000,"287.179""",RU
8,"
var hq_str_FU0","""燃油连续,150014,3500.00,3505.00,3408.00,3500.00,3426.00,3427.00,3426.00,3456.00,3494.00,13,7,118260,690432,沪,燃油,2018-10-16,0,3672.000,3418.000,3672.000,3211.000,3672.000,3063.000,3672.000,2963.000,81.151""",FU0,"""燃油连续",150014,3500.00,3505.00,3408.00,3500.00,3426.00,3427.00,3426.00,3456.00,3494.00,13,7,118260,690432,沪,燃油,2018-10-16,0,3672.000,3418.000,3672.000,3211.000,3672.000,3063.000,3672.000,2963.000,"81.151""",FU
9,"
var hq_str_A0","""豆一连续,150002,3789.00,3835.00,3763.00,3785.00,3800.00,3801.00,3801.00,3799.00,3806.00,63,6,259348,224908,连,豆一,2018-10-16,0,3879.000,3778.000,3879.000,3693.000,3879.000,3636.000,3879.000,3483.000,59.816""",A0,"""豆一连续",150002,3789.00,3835.00,3763.00,3785.00,3800.00,3801.00,3801.00,3799.00,3806.00,63,6,259348,224908,连,豆一,2018-10-16,0,3879.000,3778.000,3879.000,3693.000,3879.000,3636.000,3879.000,3483.000,"59.816""",A
