,0,1,symbol,name,time,openPrice,highPrice,lowPrice,preClose,bid1Price,ask1Price,lastPrice,settlePrice,preSettlePrice,bid1Vol,ask1Vol,openInterest,Vol,exchange,product,date,statusId,highPrice,unknown1,highPrice,unknown2,unknown3,unknown2,unknown4,unknown5,unknown6,symbolalpha
0,var hq_str_RB1901,"""螺纹钢1901,134157,4117.00,4195.00,4105.00,4117.00,4190.00,4191.00,4190.00,4149.00,4137.00,756,171,2864784,3050392,沪,螺纹钢,2018-10-17,1,4167.000,3958.000,4167.000,3904.000,4270.000,3904.000,4418.000,3790.000,84.714""",RB1901,"""螺纹钢1901",134157,4117.00,4195.00,4105.00,4117.00,4190.00,4191.00,4190.00,4149.00,4137.00,756,171,2864784,3050392,沪,螺纹钢,2018-10-17,1,4167.000,3958.000,4167.000,3904.000,4270.000,3904.000,4418.000,3790.000,"84.714""",RB
1,"
var hq_str_M1901","""豆粕1901,134157,3424.00,3430.00,3397.00,3425.00,3421.00,3422.00,3421.00,3410.00,3428.00,301,654,2206436,1346694,连,豆粕,2018-10-17,1,3539.000,3402.000,3539.000,3275.000,3539.000,3077.000,3539.000,3024.000,57.078""",M1901,"""豆粕1901",134157,3424.00,3430.00,3397.00,3425.00,3421.00,3422.00,3421.00,3410.00,3428.00,301,654,2206436,1346694,连,豆粕,2018-10-17,1,3539.000,3402.000,3539.000,3275.000,3539.000,3077.000,3539.000,3024.000,"57.078""",M
2,"
var hq_str_L1901","""塑料1901,134156,9400.00,9420.00,9365.00,9400.00,9385.00,9390.00,9385.00,9385.00,9440.00,71,321,337164,103964,连,塑料,2018-10-17,1,9825.000,9335.000,9840.000,9335.000,9840.000,9235.000,9870.000,9235.000,114.978""",L1901,"""塑料1901",134156,9400.00,9420.00,9365.00,9400.00,9385.00,9390.00,9385.00,9385.00,9440.00,71,321,337164,103964,连,塑料,2018-10-17,1,9825.000,9335.000,9840.000,9335.000,9840.000,9235.000,9870.000,9235.000,"114.978""",L
3,"
var hq_str_SR1901","""白糖1901,134157,5135.00,5146.00,5090.00,5131.00,5140.00,5141.00,5141.00,5118.00,5157.00,22,63,415208,484158,郑,白糖,2018-10-17,1,5222.000,5051.000,5249.000,4961.000,5249.000,4840.000,5249.000,4840.000,71.521""",SR1901,"""白糖1901",134157,5135.00,5146.00,5090.00,5131.00,5140.00,5141.00,5141.00,5118.00,5157.00,22,63,415208,484158,郑,白糖,2018-10-17,1,5222.000,5051.000,5249.000,4961.000,5249.000,4840.000,5249.000,4840.000,"71.521""",SR
4,"
var hq_str_P1901","""棕榈1901,134157,4784.00,4820.00,4780.00,4786.00,4806.00,4810.00,4808.00,4802.00,4796.00,237,197,478492,207948,连,棕榈,2018-10-17,1,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,61.432""",P1901,"""棕榈1901",134157,4784.00,4820.00,4780.00,4786.00,4806.00,4810.00,4808.00,4802.00,4796.00,237,197,478492,207948,连,棕榈,2018-10-17,1,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,"61.432""",P
5,"
",,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,var hq_str_RB0,"""螺纹钢连续,134150,4117.00,4195.00,4105.00,4117.00,4191.00,4192.00,4192.00,4149.00,4137.00,243,713,2865524,3048654,沪,螺纹钢,2018-10-17,0,4167.000,3958.000,4167.000,3904.000,4270.000,3904.000,4418.000,3904.000,84.671""",RB0,"""螺纹钢连续",134150,4117.00,4195.00,4105.00,4117.00,4191.00,4192.00,4192.00,4149.00,4137.00,243,713,2865524,3048654,沪,螺纹钢,2018-10-17,0,4167.000,3958.000,4167.000,3904.000,4270.000,3904.000,4418.000,3904.000,"84.671""",RB
1,"
var hq_str_AG0","""白银连续,134149,3576.00,3585.00,3546.00,3562.00,3550.00,3551.00,3551.00,3568.00,3568.00,139,150,492526,205912,沪,白银,2018-10-17,0,3581.000,3493.000,3581.000,3460.000,3581.000,3376.000,3716.000,3376.000,29.432""",AG0,"""白银连续",134149,3576.00,3585.00,3546.00,3562.00,3550.00,3551.00,3551.00,3568.00,3568.00,139,150,492526,205912,沪,白银,2018-10-17,0,3581.000,3493.000,3581.000,3460.000,3581.000,3376.000,3716.000,3376.000,"29.432""",AG
2,"
var hq_str_AU0","""黄金连续,134150,275.65,276.00,274.15,275.25,274.30,274.35,274.35,275.04,275.40,15,176,289218,108460,沪,黄金,2018-10-17,0,276.150,267.200,276.150,264.850,276.150,264.850,276.150,262.700,1.420""",AU0,"""黄金连续",134150,275.65,276.00,274.15,275.25,274.30,274.35,274.35,275.04,275.40,15,176,289218,108460,沪,黄金,2018-10-17,0,276.150,267.200,276.150,264.850,276.150,264.850,276.150,262.700,"1.420""",AU
3,"
var hq_str_CU0","""沪铜连续,134150,50330.00,50380.00,50030.00,50190.00,50220.00,50230.00,50220.00,50228.00,50510.00,29,8,163838,87516,沪,沪铜,2018-10-17,0,51140.000,49760.000,51140.000,49710.000,51140.000,47200.000,51140.000,46940.000,649.183""",CU0,"""沪铜连续",134150,50330.00,50380.00,50030.00,50190.00,50220.00,50230.00,50220.00,50228.00,50510.00,29,8,163838,87516,沪,沪铜,2018-10-17,0,51140.000,49760.000,51140.000,49710.000,51140.000,47200.000,51140.000,46940.000,"649.183""",CU
4,"
var hq_str_AL0","""沪铝连续,134144,14235.00,14345.00,14225.00,14245.00,14310.00,14315.00,14315.00,14303.00,14220.00,91,77,223228,127052,沪,沪铝,2018-10-17,0,14570.000,14070.000,14660.000,14070.000,14850.000,14070.000,15100.000,14070.000,167.150""",AL0,"""沪铝连续",134144,14235.00,14345.00,14225.00,14245.00,14310.00,14315.00,14315.00,14303.00,14220.00,91,77,223228,127052,沪,沪铝,2018-10-17,0,14570.000,14070.000,14660.000,14070.000,14850.000,14070.000,15100.000,14070.000,"167.150""",AL
5,"
var hq_str_ZN0","""沪锌连续,134150,22250.00,22395.00,22160.00,22240.00,22300.00,22305.00,22305.00,22273.00,22395.00,24,38,161190,323520,沪,沪锌,2018-10-17,0,23110.000,22085.000,23110.000,21200.000,23110.000,20130.000,23110.000,19525.000,501.114""",ZN0,"""沪锌连续",134150,22250.00,22395.00,22160.00,22240.00,22300.00,22305.00,22305.00,22273.00,22395.00,24,38,161190,323520,沪,沪锌,2018-10-17,0,23110.000,22085.000,23110.000,21200.000,23110.000,20130.000,23110.000,19525.000,"501.114""",ZN
6,"
var hq_str_PB0","""沪铅连续,134134,18825.00,18875.00,18600.00,18750.00,18735.00,18740.00,18740.00,18740.00,18880.00,11,7,51696,37646,沪,沪铅,2018-10-17,0,19060.000,18005.000,19060.000,17760.000,19240.000,17760.000,19240.000,17280.000,346.762""",PB0,"""沪铅连续",134134,18825.00,18875.00,18600.00,18750.00,18735.00,18740.00,18740.00,18740.00,18880.00,11,7,51696,37646,沪,沪铅,2018-10-17,0,19060.000,18005.000,19060.000,17760.000,19240.000,17760.000,19240.000,17280.000,"346.762""",PB
7,"
var hq_str_RU0","""橡胶连续,134150,12155.00,12280.00,12100.00,12105.00,12230.00,12235.00,12235.00,12199.00,12165.00,103,65,320530,224348,沪,橡胶,2018-10-17,0,12740.000,11935.000,12875.000,11935.000,12875.000,11850.000,12875.000,9960.000,291.823""",RU0,"""橡胶连续",134150,12155.00,12280.00,12100.00,12105.00,12230.00,12235.00,12235.00,12199.00,12165.00,103,65,320530,224348,沪,橡胶,2018-10-17,0,12740.000,11935.000,12875.000,11935.000,12875.000,11850.000,12875.000,9960.000,"291.823""",RU
8,"
var hq_str_FU0","""燃油连续,134150,3420.00,3481.00,3403.00,3426.00,3468.00,3469.00,3469.00,3436.00,3456.00,123,34,125520,481880,沪,燃油,2018-10-17,0,3672.000,3408.000,3672.000,3269.000,3672.000,3084.000,3672.000,2968.000,81.946""",FU0,"""燃油连续",134150,3420.00,3481.00,3403.00,3426.00,3468.00,3469.00,3469.00,3436.00,3456.00,123,34,125520,481880,沪,燃油,2018-10-17,0,3672.000,3408.000,3672.000,3269.000,3672.000,3084.000,3672.000,2968.000,"81.946""",FU
9,"
var hq_str_A0","""豆一连续,134150,3803.00,3814.00,3776.00,3801.00,3788.00,3789.00,3788.00,3792.00,3799.00,5,52,255228,115214,连,豆一,2018-10-17,0,3874.000,3763.000,3879.000,3693.000,3879.000,3673.000,3879.000,3488.000,60.429""",A0,"""豆一连续",134150,3803.00,3814.00,3776.00,3801.00,3788.00,3789.00,3788.00,3792.00,3799.00,5,52,255228,115214,连,豆一,2018-10-17,0,3874.000,3763.000,3879.000,3693.000,3879.000,3673.000,3879.000,3488.000,"60.429""",A
10,"
var hq_str_M0","""豆粕连续,134150,3424.00,3430.00,3397.00,3425.00,3419.00,3420.00,3419.00,3410.00,3428.00,226,316,2207634,1344002,连,豆粕,2018-10-17,0,3539.000,3402.000,3539.000,3275.000,3539.000,3077.000,3539.000,3024.000,57.035""",M0,"""豆粕连续",134150,3424.00,3430.00,3397.00,3425.00,3419.00,3420.00,3419.00,3410.00,3428.00,226,316,2207634,1344002,连,豆粕,2018-10-17,0,3539.000,3402.000,3539.000,3275.000,3539.000,3077.000,3539.000,3024.000,"57.035""",M
11,"
var hq_str_Y0","""豆油连续,134150,5868.00,5890.00,5852.00,5870.00,5870.00,5872.00,5870.00,5868.00,5892.00,116,174,884028,195738,连,豆油,2018-10-17,0,6010.000,5836.000,6010.000,5822.000,6010.000,5732.000,6010.000,5474.000,65.302""",Y0,"""豆油连续",134150,5868.00,5890.00,5852.00,5870.00,5870.00,5872.00,5870.00,5868.00,5892.00,116,174,884028,195738,连,豆油,2018-10-17,0,6010.000,5836.000,6010.000,5822.000,6010.000,5732.000,6010.000,5474.000,"65.302""",Y
12,"
var hq_str_J0","""焦炭连续,134150,2452.00,2511.00,2421.00,2448.50,2499.00,2500.00,2500.00,2459.50,2468.00,14,2,369454,565592,连,焦炭,2018-10-17,0,2554.000,2409.500,2554.000,2199.000,2554.000,2199.000,2721.000,2092.000,74.584""",J0,"""焦炭连续",134150,2452.00,2511.00,2421.00,2448.50,2499.00,2500.00,2500.00,2459.50,2468.00,14,2,369454,565592,连,焦炭,2018-10-17,0,2554.000,2409.500,2554.000,2199.000,2554.000,2199.000,2721.000,2092.000,"74.584""",J
13,"
var hq_str_C0","""玉米连续,134150,1855.00,1858.00,1851.00,1855.00,1853.00,1854.00,1854.00,1854.00,1854.00,1529,1013,839448,97648,连,玉米,2018-10-17,0,1871.000,1840.000,1871.000,1840.000,1929.000,1840.000,1939.000,1827.000,15.682""",C0,"""玉米连续",134150,1855.00,1858.00,1851.00,1855.00,1853.00,1854.00,1854.00,1854.00,1854.00,1529,1013,839448,97648,连,玉米,2018-10-17,0,1871.000,1840.000,1871.000,1840.000,1929.000,1840.000,1939.000,1827.000,"15.682""",C
14,"
var hq_str_L0","""塑料连续,134150,9400.00,9420.00,9365.00,9400.00,9385.00,9390.00,9385.00,9385.00,9440.00,1,383,337180,103888,连,塑料,2018-10-17,0,9825.000,9335.000,9840.000,9335.000,9840.000,9235.000,9870.000,9235.000,116.073""",L0,"""塑料连续",134150,9400.00,9420.00,9365.00,9400.00,9385.00,9390.00,9385.00,9385.00,9440.00,1,383,337180,103888,连,塑料,2018-10-17,0,9825.000,9335.000,9840.000,9335.000,9840.000,9235.000,9870.000,9235.000,"116.073""",L
15,"
var hq_str_P0","""棕榈连续,134150,4784.00,4820.00,4780.00,4786.00,4806.00,4810.00,4808.00,4802.00,4796.00,248,187,478482,207890,连,棕榈,2018-10-17,0,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,61.833""",P0,"""棕榈连续",134150,4784.00,4820.00,4780.00,4786.00,4806.00,4810.00,4808.00,4802.00,4796.00,248,187,478482,207890,连,棕榈,2018-10-17,0,4838.000,4682.000,4838.000,4670.000,4944.000,4644.000,5006.000,4644.000,"61.833""",P
16,"
var hq_str_V0","""PVC连续,134150,6525.00,6525.00,6450.00,6510.00,6485.00,6490.00,6490.00,6485.00,6555.00,332,363,319182,162800,连,PVC,2018-10-17,0,6900.000,6475.000,6900.000,6475.000,6900.000,6475.000,7490.000,6475.000,119.352""",V0,"""PVC连续",134150,6525.00,6525.00,6450.00,6510.00,6485.00,6490.00,6490.00,6485.00,6555.00,332,363,319182,162800,连,PVC,2018-10-17,0,6900.000,6475.000,6900.000,6475.000,6900.000,6475.000,7490.000,6475.000,"119.352""",V
17,"
var hq_str_PP0","""PP连续,134150,10170.00,10215.00,10142.00,10149.00,10178.00,10180.00,10178.00,10180.00,10190.00,25,29,476710,194550,连,PP,2018-10-17,0,10642.000,10073.000,10642.000,9855.000,10642.000,9680.000,10642.000,9430.000,157.287""",PP0,"""PP连续",134150,10170.00,10215.00,10142.00,10149.00,10178.00,10180.00,10178.00,10180.00,10190.00,25,29,476710,194550,连,PP,2018-10-17,0,10642.000,10073.000,10642.000,9855.000,10642.000,9680.000,10642.000,9430.000,"157.287""",PP
18,"
var hq_str_RS0","""菜籽连续,090653,5497.00,5497.00,5449.00,5473.00,5438.00,5505.00,0.00,5473.00,5473.00,1,1,24,0,郑,菜籽,2018-10-17,0,5497.000,5300.000,5497.000,5300.000,5638.000,5224.000,5894.000,4584.000,143.527""",RS0,"""菜籽连续",090653,5497.00,5497.00,5449.00,5473.00,5438.00,5505.00,0.00,5473.00,5473.00,1,1,24,0,郑,菜籽,2018-10-17,0,5497.000,5300.000,5497.000,5300.000,5638.000,5224.000,5894.000,4584.000,"143.527""",RS
19,"
var hq_str_RM0","""菜粕连续,134150,2589.00,2592.00,2548.00,2593.00,2570.00,2571.00,2571.00,2565.00,2599.00,41,337,696356,904962,郑,菜粕,2018-10-17,0,2642.000,2573.000,2642.000,2447.000,2642.000,2311.000,2642.000,2311.000,44.671""",RM0,"""菜粕连续",134150,2589.00,2592.00,2548.00,2593.00,2570.00,2571.00,2571.00,2565.00,2599.00,41,337,696356,904962,郑,菜粕,2018-10-17,0,2642.000,2573.000,2642.000,2447.000,2642.000,2311.000,2642.000,2311.000,"44.671""",RM
20,"
var hq_str_FG0","""玻璃连续,134149,1318.00,1325.00,1313.00,1318.00,1322.00,1323.00,1323.00,1320.00,1320.00,192,187,225798,95832,郑,玻璃,2018-10-17,0,1354.000,1311.000,1376.000,1306.000,1378.000,1306.000,1505.000,1306.000,22.895""",FG0,"""玻璃连续",134149,1318.00,1325.00,1313.00,1318.00,1322.00,1323.00,1323.00,1320.00,1320.00,192,187,225798,95832,郑,玻璃,2018-10-17,0,1354.000,1311.000,1376.000,1306.000,1378.000,1306.000,1505.000,1306.000,"22.895""",FG
21,"
var hq_str_CF0","""棉花连续,134150,15450.00,15560.00,15430.00,15450.00,15505.00,15510.00,15510.00,15495.00,15500.00,39,58,403550,123534,郑,棉花,2018-10-17,0,15700.000,15260.000,16070.000,15260.000,16720.000,15260.000,17555.000,15260.000,248.153""",CF0,"""棉花连续",134150,15450.00,15560.00,15430.00,15450.00,15505.00,15510.00,15510.00,15495.00,15500.00,39,58,403550,123534,郑,棉花,2018-10-17,0,15700.000,15260.000,16070.000,15260.000,16720.000,15260.000,17555.000,15260.000,"248.153""",CF
22,"
var hq_str_MA0","""郑醇连续,134150,3366.00,3392.00,3360.00,3367.00,3384.00,3385.00,3384.00,3375.00,3404.00,40,83,789788,859886,郑,郑醇,2018-10-17,0,3525.000,3336.000,3525.000,3193.000,3525.000,3193.000,3525.000,2891.000,81.289""",MA0,"""郑醇连续",134150,3366.00,3392.00,3360.00,3367.00,3384.00,3385.00,3384.00,3375.00,3404.00,40,83,789788,859886,郑,郑醇,2018-10-17,0,3525.000,3336.000,3525.000,3193.000,3525.000,3193.000,3525.000,2891.000,"81.289""",MA
23,"
var hq_str_TA0","""PTA连续,134150,7280.00,7288.00,7142.00,7288.00,7164.00,7166.00,7164.00,7206.00,7292.00,82,21,923416,692406,郑,PTA,2018-10-17,0,7610.000,7238.000,7610.000,7096.000,7774.000,7086.000,8062.000,6034.000,168.324""",TA0,"""PTA连续",134150,7280.00,7288.00,7142.00,7288.00,7164.00,7166.00,7164.00,7206.00,7292.00,82,21,923416,692406,郑,PTA,2018-10-17,0,7610.000,7238.000,7610.000,7096.000,7774.000,7086.000,8062.000,6034.000,"168.324""",TA
24,"
var hq_str_SR0","""白糖连续,134150,5135.00,5146.00,5090.00,5131.00,5140.00,5141.00,5141.00,5118.00,5157.00,21,63,415226,484096,郑,白糖,2018-10-17,0,5222.000,5051.000,5249.000,4961.000,5249.000,4840.000,5249.000,4803.000,71.114""",SR0,"""白糖连续",134150,5135.00,5146.00,5090.00,5131.00,5140.00,5141.00,5141.00,5118.00,5157.00,21,63,415226,484096,郑,白糖,2018-10-17,0,5222.000,5051.000,5249.000,4961.000,5249.000,4840.000,5249.000,4803.000,"71.114""",SR
25,"
",,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
